origin,origin_length,text_original,text_translated,pointers
0x0E0096D8,403,{clr}　人形の名は、ジュディ。ももが、昔々{nl}とっても大切にしていたお人形でした。{nl}　そして、ももの思い出の国＜{momo}{nl}ランド＞がタイヘンなことになってると{nl}知らせに来たのです。{nl}「このままでは、ももちゃんの思い出が{nl}ぜ〜んぶ消されてしまうわさ」{nl}「そんなぁ。だれがそんなことを？」{nl}「ハクサイ大魔王っていう悪いヤツよ」{nl}　ももたちは、＜時間のとびら＞の管理{nl}人クロックさんとともに、さっそく思い{nl}出の国にトリップしました。,,0x0E06AD48
0x0E00986C,380,{clr}　その日、{momo}は、いつものように{nl}{baku}と公園で遊んでいました。{nl}　すると、{baku}がかき根の向こうか{nl}ら、古いお人形をくわえてきました。見{nl}たことがあるような、それに、なんだか{nl}とってもなつかしいような感じのするお{nl}人形です。でも、{momo}は、その人形{nl}の名前を思いだせませんでした。{nl}ところが・・・！{nl}「やだぁ〜もう、{momo}ちゃんったら{nl}わたしの名前わすれちゃったの？」{nl}人形がとつぜんしゃべりだしました。{nl},,0x0E06AD44
0x0E009C18,7,{fast}%2d番,,0x0E009D34
0x0E009DF4,7,{fast}%2d番,,0x0E009EFC
0x0E00A5C4,13,{opt}通常モード{nl},,0x0E00A77C
0x0E00A5D4,29,{opt}タイトル{opt}アルファ{opt}ファイル{nl},,0x0E00A784
0x0E00A5F4,35,{opt}テスト１{opt}テスト２{opt}名前入力テスト{nl},,0x0E00A788
0x0E00A618,37,{opt}０１章{opt}０２章{opt}０３章{opt}０４章{opt}０６章{nl},,0x0E00A78C
0x0E00A640,37,{opt}０７章{opt}０８章{opt}０９章{opt}１０章{opt}１１章{nl},,0x0E00A790
0x0E00A668,32,{opt}１２章{opt}１３章{opt}ＥＤ　{opt}スタッフ{nl},,0x0E00A794
0x0E00A688,18,{opt}絵本　{opt}プリント{nl},,0x0E00A798
0x0E00A69C,30,{opt}ＳＧ１{opt}ＳＧ２{opt}ＳＧ３{opt}ＳＧ４{nl},,0x0E00A79C
0x0E00A6BC,13,{opt}ＡＤＰＣＭ{nl},,0x0E00A7A0
0x0E00AC34,4,　{nl},,0x0E00AD6C
0x0E00AC38,22,　じゅくに時間どおり{nl},,0x0E00AD74
0x0E00AC50,22,　に行けなかったので{nl},,0x0E00AD78
0x0E00AC68,22,　こまっているのであ{nl},,0x0E00AD7C
0x0E00AC80,22,　る。そんなのこまる{nl},,0x0E00AD80
0x0E00AC98,22,　わけないでしょ！そ{nl},,0x0E00AD84
0x0E00ACB0,19,　んなことはない。,,0x0E00AD88
0x0E00B570,13,{opt}ＡＤＰＣＭ{nl},,0x0E00B60C
0x0E00B580,8,{opt}ＢＧＭ,,0x0E00B610
0x0E00B628,41,{opt}００足音　　{opt}０１１号軸折{opt}０２イモ爆発{nl},,0x0E00B918
0x0E00B654,41,{opt}０３１号ベル{opt}０４ケムリ消{opt}０５不正解　{nl},,0x0E00B920
0x0E00B680,41,{opt}０６着地　　{opt}０７突っつき{opt}０８オリ落ち{nl},,0x0E00B924
0x0E00B6AC,41,{opt}０９羽出合体{opt}１０ジャンプ{opt}１１ポテ消え{nl},,0x0E00B928
0x0E00B6D8,41,{opt}１２草揺れ　{opt}１３物投げ　{opt}１４カギ開け{nl},,0x0E00B92C
0x0E00B704,41,{opt}１５リュ出入{opt}１６わん大　{opt}１７がるる　{nl},,0x0E00B930
0x0E00B730,41,{opt}１８くぅ〜ん{opt}１９きゃぃん{opt}２０わぉーん{nl},,0x0E00B934
0x0E00B75C,15,{opt}２１わん小　{nl},,0x0E00B938
0x0E00B76C,28,{fast}{hsp}ＶＯＬ　　　{opt}０{opt}１{opt}２{opt}３{nl},,0x0E00B93C
0x0E00B788,26,{fast}{hsp}ローパス　　{opt}有り{opt}無し{nl},,0x0E00B940
0x0E00B7A4,26,{fast}{hsp}スタンバイ　{opt}有り{opt}無し{nl},,0x0E00B944
0x0E00B7C0,38,{fast}{hsp}振幅　　　　{opt}０〜１{opt}１／４〜３／４{nl},,0x0E00B948
0x0E00B9F0,37,{opt}Ｍ１０{opt}Ｍ１１{opt}Ｍ１２{opt}Ｍ１３{opt}Ｍ１４{nl},,0x0E00BCE4
0x0E00BA18,37,{opt}Ｍ１５{opt}Ｍ１６{opt}Ｍ１７{opt}Ｍ１８{opt}Ｍ１９{nl},,0x0E00BCEC
0x0E00BA40,37,{opt}Ｍ２０{opt}Ｍ２１{opt}Ｍ２２{opt}Ｍ２３{opt}Ｍ２４{nl},,0x0E00BCF0
0x0E00BA68,37,{opt}Ｍ２５{opt}Ｍ２６{opt}Ｍ２７{opt}Ｍ２８{opt}Ｍ２９{nl},,0x0E00BCF4
0x0E00BA90,37,{opt}Ｍ３０{opt}Ｍ３１{opt}Ｍ３２{opt}Ｍ３３{opt}無音　{nl},,0x0E00BCF8
0x0E00BAB8,9,{opt}Ｍ４１{nl},,0x0E00BCFC
0x0E00BAC4,37,{opt}Ｍ４２{opt}Ｍ４３{opt}Ｍ４４{opt}Ｍ４５{opt}Ｍ４６{nl},,0x0E00BD00
0x0E00BAEC,34,{opt}Ｍ４７{opt}Ｍ４８２{opt}Ｍ４８３{opt}Ｍ４８{nl},,0x0E00BD04
0x0E00BB10,37,{opt}欠番　{opt}Ｍ５０{opt}Ｍ５１{opt}Ｍ５２{opt}Ｍ５３{nl},,0x0E00BD08
0x0E00BB38,37,{opt}Ｍ５４{opt}Ｍ５５{opt}Ｍ５８{opt}Ｍ５９{opt}Ｍ６０{nl},,0x0E00BD0C
0x0E00BB60,38,{opt}Ｍ４３＿２{opt}Ｍ５６{opt}Ｍ５７{opt}Ｍ４８＿４{nl},,0x0E00BD10
0x0E00C1F4,12,ただいまー{np},,0x0E00C808
0x0E00C200,28,わあ、パパ、お帰りなさい！{np},,0x0E00C828
0x0E00C21C,24,お帰りなさい、あなた。{np},,0x0E00C82C
0x0E00C234,33,{momo}、{nl}今日はいいコにしてたかい？{np},,0x0E00C84C
0x0E00C258,46,パパ、{momo}、{nl}もうちっちゃいコじゃ{nl}ないんだよ？{np},,0x0E00C854
0x0E00C288,19,ははっ、そうか。{np}{nl},,0x0E00C858
0x0E00C29C,28,でも、今日はトクベツだろ？{np},,0x0E00C9FC
0x0E00C2B8,43,パパ、覚えててくれたの？{nl}{momo}のたん生日！！{np},,0x0E00CA0C
0x0E00C2E4,17,もちろんだよ。{np}{nl},,0x0E00CA10
0x0E00C2F8,52,さあ、{nl}プレゼントは部屋の中だよ。{nl}さがしてごらん？{np},,0x0E00CA18
0x0E00C32C,20,わあ、なんだろう？{np},,0x0E00CA1C
0x0E00C340,15,えっ？{np}えっ？{np},,0x0E00CBE8
0x0E00C350,33,いま、{nl}キューン、っていった？？{np},,0x0E00CBF4
0x0E00C374,44,うっわぁー！　かわいい！！{nl}子犬だああ！！{np}{nl},,0x0E00CC38
0x0E00C3A0,22,パパ！！　子犬だあ！{np},,0x0E00CC4C
0x0E00C3B8,48,あらっ！子犬じゃない！{np}{nl}まああ　かわいいこと！{np},,0x0E00CE24
0x0E00C3E8,72,ハハハ、前にかってた、{nl}キャプテンが死んで、もう{nl}ずいぶんたったもんな。{np},,0x0E00CE34
0x0E00C430,54,新しい、家族よ。{nl}{momo}ちゃん、{nl}名前を付けてあげなさい。{np},,0x0E00CE38
0x0E00C468,55,うふ　かわいい！！{np}{nl}名前は……{nl}何にしようかなあ………{np},,0x0E00CE3C
0x0E00C4A0,35,{baku}、{nl}キミの名前は{baku}だよ{np}{nl}覚えた？{np},,0x0E00CE74
0x0E00C4C4,23,{baku}！{baku}！{nl}かっわいい！{np},,0x0E00D078
0x0E00C4DC,39,おっきいお耳！{nl}フフッ　空も飛べそう。{np},,0x0E00D088
0x0E00C504,22,パパ！ありがとう！！{np},,0x0E00D090
0x0E00C51C,6,{momo}。{np},,0x0E00D098;0x0E01077C
0x0E00C524,51,生き物なんだから、大事に{nl}かわいがって育てるのよ。{np},,0x0E00D09C
0x0E00C558,37,あきてほったらかしに{nl}しちゃダメよ。{np},,0x0E00D0A4
0x0E00C580,45,そうだ、しつけもちゃんと{nl}してあげなきゃな。{np},,0x0E00D240
0x0E00C5B0,10,しつけ？{np},,0x0E00D258
0x0E00C5BC,54,そうだね。{nl}まずは、おすわりを教えて{nl}あげるといいよ。{np},,0x0E00D25C
0x0E00C5F4,14,どうやるの？{np},,0x0E00D278
0x0E00C604,41,パパがやってみせるから、{nl}みていなさい。{np},,0x0E00D27C
0x0E00D280,44,いいかい、{momo}。{nl}こうやって{baku}の{nl}せなかを……{np},,0x0E00D5C0
0x0E00D2AC,45,「おすわり！」って{nl}言いながらたたくんだよ。{np},,0x0E00D5CC
0x0E00D2DC,6,{baku}。{np},,0x0E00D5D8;0x0E010B44
0x0E00D2E4,12,おすわり！{np},,0x0E00D5DC;0x0E00DBD8
0x0E00D2F0,10,{baku}、{baku}！{np},,0x0E00D7B4
0x0E00D2FC,28,おすわり！{np}{nl}{baku}、おすわり！{np},,0x0E00D7C0
0x0E00D318,50,よし！よし！{nl}{baku}はおりこうだな。{nl}もう覚えたのか。{np},,0x0E00D7CC
0x0E00D34C,31,よ〜し、{nl}いいコだ、いいコだ！{np},,0x0E00D7E0
0x0E00D36C,49,さあ、{momo}。{np}{nl}パパがやったとおりに{nl}やってごらん。{np},,0x0E00D7E8
0x0E00D3A0,8,うん！{np},,0x0E00D7EC;0x0E00E760;0x0E00EF08
0x0E00D898,19,{opt}おすわりを教える{nl},,0x0E00DBA0
0x0E00D8AC,6,{baku}！{np},,0x0E00DBD4;0x0E00E720;0x0E00E960
0x0E00D8B4,16,{baku}、おすわり！{np},,0x0E00DDA0
0x0E00D8C4,16,{baku}！おすわり！{np},,0x0E00DDC0;0x0E00DFB4
0x0E00D8D4,31,パパぁ、{baku}{nl}おすわりしないよ。{np},,0x0E00DEDC
0x0E00D8F4,52,{momo}。{nl}あきらめちゃダメだよ。{nl}もう１回やってごらん。{np},,0x0E00DEEC
0x0E00D928,9,うん。{np}{nl},,0x0E00DEF0
0x0E00D934,39,{opt}おすわりを教える。{nl}{opt}教えるのやめる。{nl},,0x0E00DEF4
0x0E00D95C,50,{momo}。{np}{nl}あきらめちゃダメだ。{np}{nl}根気よく続けなきゃ。{np},,0x0E00DEFC
0x0E00D990,29,やったー！！{nl}{baku}、エラーイ！{np},,0x0E00E114
0x0E00D9B0,44,パパ、{baku}が{nl}おすわりできるように{nl}なったよ。{np},,0x0E00E134
0x0E00E2D4,35,よーし、じゃあ{nl}次はとってこいだ！{np},,0x0E00E3A8
0x0E00E2F8,39,パパのやりかたを{nl}よく見ているんだよ。{np},,0x0E00E3B4
0x0E00E3C4,31,{baku}。{nl}あそこにボールあるだろ。{np},,0x0E00E750
0x0E00E3E4,42,{momo}、{nl}{baku}にボールって{nl}どれか教えてあげて。{np},,0x0E00E75C
0x0E00E410,31,これだよ！{nl}これがボールだよ！{np},,0x0E00E970
0x0E00E430,31,{baku}、あれだよ。{nl}あれがボール。{np},,0x0E00E974
0x0E00E450,35,そうそう、{baku}。{nl}あれ、取ってきて！{np},,0x0E00EB44
0x0E00E474,34,{baku}。{nl}ボール取ってきて！{nl}ボール！{np},,0x0E00EB60
0x0E00E498,43,そう、{baku}、あっちよ！{nl}パパに持っていって！{np},,0x0E00EB94
0x0E00E4C4,44,{baku}、{nl}ボール持ってきて。{nl}パパに持ってきて。{np},,0x0E00ED80
0x0E00E4F0,12,やったー！{np},,0x0E00EDC8
0x0E00E4FC,29,よ〜し、{baku}。{nl}エライぞ！{baku}。{np},,0x0E00EDCC
0x0E00E51C,37,よし、それじゃあ{nl}{momo}、やってごらん。{np},,0x0E00EEF8
0x0E00EF0C,20,{baku}、こっちおいで！{np},,0x0E00F2C0
0x0E00EF20,33,よ〜し、{baku}{nl}おりこう、おりこう。{np},,0x0E00F2FC
0x0E00EF44,51,{baku}………{np}{nl}{opt}とってこいを教える。{nl}{opt}教えるのやめる。{nl},,0x0E00F304
0x0E00EF78,21,ダメだよー、{baku}……{np}{nl},,0x0E00F398
0x0E00EF90,41,{opt}とってこいを教える。{nl}{opt}教えるのやめる。{nl},,0x0E00F39C
0x0E00EFBC,35,ほら、{baku}。{nl}あれよ。あのボールよ。{np},,0x0E00F57C
0x0E00EFE0,14,…………！！{np},,0x0E00F5B0
0x0E00EFF0,29,ほら、{baku}、{nl}{momo}に渡すんだよ。{np},,0x0E00F7BC
0x0E00F010,42,{baku}、そのボール{nl}あたしにちょうだい。{nl}{baku}！{np},,0x0E00F7D8
0x0E00F03C,40,{baku}！{nl}持ってきて。{nl}こっちに持ってきて！{np},,0x0E00F9E0
0x0E00F064,10,{baku}………{np},,0x0E00FBDC
0x0E00F070,39,やったー！{baku}が{nl}とってこいできたー！！{np},,0x0E00FBE8
0x0E00F098,44,{baku}、{nl}エライ、エライ！{nl}{baku}はおりこうさんね。{np},,0x0E00FC1C
0x0E00F0C4,13,"パパ、ママ,{np}",,0x0E00FC20
0x0E00F0D4,48,{baku}、{nl}やっと、とってこい{nl}できるようになったよ。{np},,0x0E00FC24
0x0E00F104,27,うん、良かったわねぇ{nl}{momo}。{np},,0x0E00FDA8
0x0E00F120,38,{momo}の心が{nl}{baku}に通じたんじゃ{nl}ないかな。{np},,0x0E00FDB8
0x0E00FDD0,27,{baku}、{nl}ボール、あのボール。{np},,0x0E00FFB4
0x0E00FDEC,24,あのボール取ってきて！{np},,0x0E00FFC4
0x0E00FFD0,33,{baku}、{nl}ボール！ボール取ってきて！{np},,0x0E0101C4
0x0E01020C,38,{baku}！{nl}ボール取ってきて！{nl}おねがい！！{np},,0x0E0102D0
0x0E0102F8,17,…………{np}{baku}！！{np},,0x0E010754
0x0E01030C,25,ボール！{nl}取ってきて！！{np},,0x0E010768
0x0E010328,47,{momo}はちょっと{nl}イライラしてるんじゃ{nl}ないかな。{np}{nl},,0x0E010784
0x0E010358,8,え！？{np},,0x0E010788
0x0E010360,27,{baku}にだって{nl}心があるんだ。{np},,0x0E01078C
0x0E01037C,46,{baku}が{momo}の{nl}思いどうりに持ってこない{nl}からって、{np},,0x0E010790
0x0E0103AC,37,{momo}はイライラ{nl}してたんじゃないかな。{np},,0x0E010794
0x0E0103D4,62,{baku}はとてもビンカン{nl}だから、ちゃんと{momo}の{nl}様子がわかるんだよ。{np},,0x0E010798
0x0E010414,37,イライラしてる{nl}{momo}の所には来ないよ。{np},,0x0E0107A0
0x0E01043C,12,そおねぇ…{np},,0x0E0107A4
0x0E010448,70,{baku}が一度でも取って{nl}きてくれたら、たくさん{nl}ほめてあげるといいかもね。{np},,0x0E010960
0x0E010490,49,{baku}がとっても{nl}うれしくなるくらい、{np}{nl}たくさんね。{np},,0x0E010964
0x0E0104C4,46,そうしたら{baku}は{nl}また{momo}にほめて{nl}もらいたくて、{np},,0x0E010968
0x0E0104F4,50,ボールを持ってくる{nl}ようになるんじゃ{nl}ないかしら。{np},,0x0E01096C
0x0E010528,12,そうか……{np},,0x0E01097C
0x0E010534,61,うん、わかった！{np}{nl}イライラしない！{np}{nl}たくさんほめる！{np}だね。{np},,0x0E010980
0x0E010574,14,やってみる！{np},,0x0E010984
0x0E010988,41,ボール取ってきて！{np}{nl}ボール。{nl}ボールよ！{np},,0x0E010B60
0x0E010B78,48,ほら、{baku}。{nl}あれよ。あのボールを{nl}取ってくるの。{np},,0x0E010DF0
0x0E010BA8,35,そう、そのボールを{nl}持ってくるの。{np},,0x0E010E18
0x0E010BCC,33,う〜ん、{baku}。{nl}わかんないかなぁ。{np},,0x0E010EC4
0x0E010ED4,70,{momo}、これもおすわりと{nl}同じであきらめちゃダメだ。{nl}根気よくやるんだよ。{np},,0x0E010F58
0x0E010F6C,41,子犬は、ねかせてあげるのも{nl}大事なのよ？{np},,0x0E0110FC
0x0E010F98,39,病気になっちゃったら{nl}タイヘンでしょ？{np},,0x0E011108
0x0E010FC0,33,もう、{nl}ねかせてあげましょうね。{np},,0x0E01110C
0x0E010FE4,10,はーい…{np},,0x0E01111C
0x0E010FF0,43,あしたから、ボールあそびが{nl}できるぞ、{momo}。{np},,0x0E011120
0x0E01101C,27,そうだね！{nl}おやすみ、{baku}。{np},,0x0E011124
0x0E0112C0,28,さあ、今日は日曜日だから、{np},,0x0E01154C
0x0E0112DC,54,公園にでも行って、{nl}{baku}とボールあそびを{nl}やるといいぞ！{np},,0x0E011558
0x0E011314,26,うん！　いこう！{np}{nl}{baku}！！{np},,0x0E011564
0x0E011330,20,いってきまーーす！{np},,0x0E01158C
0x0E011344,26,はい、いってらっしゃい。{np},,0x0E011594
0x0E011B94,35,いい、{baku}。{nl}これをとってくるのよ。{np},,0x0E011E8C
0x0E011BB8,27,じゃあ、もう１回行くよ。{np}{nl},,0x0E011EB0
0x0E011BD4,11,行くよ。{np}{nl},,0x0E011EB4
0x0E011BE0,33,　{opt}かるく投げる{nl}　{opt}つよく投げる{nl},,0x0E011EB8
0x0E011C04,9,それっ！,,0x0E0120D8
0x0E011C10,67,{baku}、えらいえらい。{np}{nl}きちんと、とってこいが{nl}できるようになったね。{np},,0x0E012240
0x0E011C54,66,{baku}、すッごーい！{nl}教えてもないのに、どうして{nl}そんなことできるの？{np},,0x0E0125B0
0x0E0125EC,50,よーし。次はちょっと{nl}むずかしいの、やるからね！{np}{nl},,0x0E0128F8
0x0E012620,29,いい、行くよ、{baku}！{np}{nl}それっ！,,0x0E012918
0x0E012640,16,{baku}ー、あった？{np},,0x0E012B68
0x0E012650,14,………。{baku}ー{np},,0x0E012D00
0x0E012660,38,{baku}、{baku}！{nl}おいで！{nl}もどっておいで〜！{np},,0x0E012D24
0x0E012688,56,{baku}ー。{nl}{baku}の名前よんでたら、{nl}おなかすいてきちゃった……{np},,0x0E012D2C
0x0E0126C0,37,{baku}……、{nl}どうしちゃったんだろう……{np},,0x0E012D30
0x0E012D40,6,{baku}！{np},,0x0E013310
0x0E012D48,41,何してたのよぉ。{nl}心配してたんだからぁ。{np},,0x0E013320
0x0E012D74,56,それ、な〜に？{nl}もう、ボール以外の物を{nl}拾ってきて……　{np},,0x0E013324
0x0E012DAC,35,あれ……。{nl}この人形、どこかで……{np},,0x0E013330
0x0E012DD0,64,そうだ……。{nl}ずっと前、ここに引っこし{nl}てくる時になくなった……{np},,0x0E013504
0x0E012E10,16,えと、う〜ん。{np},,0x0E01350C
0x0E012E20,49,大切にしてたのに、何で{nl}思い出せないのかなぁ……{np},,0x0E013518
0x0E012E54,16,ジュディ……。{nl},,0x0E01351C
0x0E012E64,29,{np}そうだ、これ、ジュディだ！{np},,0x0E013524
0x0E012E84,39,思い出してくれたのねッ、{nl}{momo}ちゃん！　{np},,0x0E013694
0x0E012EAC,24,え？　え？　エェーッ？{np},,0x0E0136A8
0x0E012EC4,44,{momo}ちゃん！{nl}大変なのッ！！{nl}大変なんだから！{np},,0x0E0136D8
0x0E012EF0,27,早く早く、{nl}{momo}ランドに……{np},,0x0E0136E0
0x0E0136E4,33,あーあー、ゴホン！{nl}もしもし…　{np},,0x0E013CB8
0x0E013708,45,なな、なんで！？{nl}目覚まし時計が動いてるッ！{np},,0x0E013CD0
0x0E013738,52,うるさいなァ。とにかく、{nl}{momo}ランドが大変なの{nl}よッ！{np},,0x0E013CD4
0x0E01376C,48,だから、{momo}ちゃん{nl}いっしょに来て、{nl}{momo}ランドに！{np},,0x0E013CD8
0x0E01379C,33,え？　ええーっ？{nl}どうゆうこと？{np},,0x0E013EB4
0x0E0137C0,26,あたし、わかんないよぉ！{np},,0x0E013EC8
0x0E0137DC,18,オホンオホンッ！{np},,0x0E013EE0
0x0E0137F0,41,{momo}ランドの住人が、{nl}いかんよ、ジュディ。{np},,0x0E013EF0
0x0E01381C,82,時間のとびらの管理人である{nl}ワシのゆるしもなく、勝手に{nl}げんじつの世界にくるとは。{np},,0x0E013EF8
0x0E013870,26,さあ、もどったもどった！{np},,0x0E013EFC
0x0E01388C,72,もう、タイヘンなんだから{nl}しょうがないでしょ！！{nl}うるさいオジサンね！！{np},,0x0E0140DC
0x0E0138D4,10,オジ……{np},,0x0E0140EC
0x0E0138E0,31,ゴホン！{nl}ワシはクロックじゃ。{np},,0x0E0140FC
0x0E013900,58,さっきも言った通り、{nl}{momo}ランドと{nl}げんじつの世界とをつなぐ{np},,0x0E014100
0x0E01393C,33,時間のとびらの管理人で{nl}あるぞ。{np},,0x0E014104
0x0E013960,54,ところで{momo}ちゃん、{nl}そろそろジュクに行く時間で{nl}ある。{np},,0x0E0142D0
0x0E013998,39,もう！じゅくなんてどうでも{nl}いいのッ！{np},,0x0E0142E8
0x0E0139C0,43,お願い{momo}ちゃん{nl}時間がナイの。これを見て！{np},,0x0E0142F0
0x0E0139EC,26,これ……ダレのアルバム？{np},,0x0E014318
0x0E013A08,20,……………………。{np},,0x0E014320
0x0E013A1C,25,これ、あたしのアルバム！,,0x0E014328
0x0E013A38,2,{np},,0x0E01432C
0x0E013A3C,22,なんで！　どうして？{np},,0x0E014330
0x0E013A54,45,ええッ？　写真が……{nl}写真が、消えちゃう！！{np},,0x0E0143A4
0x0E0143CC,41,{momo}ランドが今、{nl}大変なことになってるの！{np},,0x0E0149D0
0x0E0143F8,56,このままだと、{nl}{momo}ちゃんの思い出は{nl}みんな消えちゃうよ！{np},,0x0E0149DC
0x0E014430,72,もう少しおそかったら、{nl}ジュディのことも思い出せ{nl}なくなってたんだから！{np},,0x0E0149E0
0x0E014478,56,ジュディ、{nl}時間のとびらはもうすぐ{nl}しまる時間であるぞ！{np},,0x0E0149F0
0x0E0144B0,22,さあ、もどるである！{np},,0x0E0149F4
0x0E0144C8,48,お願い{momo}ちゃん！{nl}ジュディのこと{nl}わすれないで！{np},,0x0E0149F8
0x0E0144F8,39,あたしたち、{nl}いつまでも友達でしょう？{np},,0x0E0149FC
0x0E014520,33,も、もちろん友達よ、{nl}ジュディ！{np},,0x0E014A08
0x0E014544,35,でも、{momo}ランドって{nl}ドコにあるの？{np},,0x0E014A0C
0x0E014568,51,あたし、これからジュクに{nl}行かなきゃならないし…　{np},,0x0E014A10
0x0E01459C,60,時間がないんじゃぞ、{nl}ジュディ。{nl}あと２０びょう……１９……{np},,0x0E014A24
0x0E0145D8,68,宿題もまだやってないよ！{nl}夕ご飯におくれるとパパに{nl}しかられるし……{np},,0x0E014BF0
0x0E01461C,22,１５……１４……１３{np},,0x0E014BF4
0x0E014634,20,えと……ほ、ほら、{np},,0x0E014BF8
0x0E014648,56,{momo}ランドに行くに{nl}しても、色々じゅんびが{nl}あるじゃない。{np},,0x0E014C00
0x0E014680,47,持ってゆく物とか、{nl}用意しなきゃならないし……{np},,0x0E014C04
